ID,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Jhari Patterson - 151053,1,49.05,30.51,1.0,1.0,0.8877679697351829,0.8723711671215283,0.8407449028736554,0.4968474148802018,0.8863267879661322,0.6051161952801297,0.3365159430733201,0.05458475950279229,0.6710502612141956,0.48531064376304384,0.9259110611655161,0.7497993257344678,0.5016053941242575,0.06092470701557232,0.7129555305827581,0.47447423342430567,0.7046074811366191,0.34997591908813613,0.0,0.05771391876705731,0.5646171135013646,0,0,0,1,72.425,192.0,31.825,76.725,13.0,1.546,4.5760000000000005,33.4,123.0,7.016,4.343999999999999,4.467999999999999,0.1949555693325067,66.41799999999998
Davon Wells - 142483,1,75.23,30.1,0.0,0.0,0.8375067555395425,0.8888264568951678,0.7485952801412746,0.42262655377409475,0.9106467303188615,0.6416861826697893,0.5476490722392362,0.3804719870293641,0.7105026121419564,0.5521753090383689,0.9084122652111093,0.615187028415476,0.6566864665275325,0.5258468454005458,0.7639267940279338,0.22788569593835287,0.7348691603788731,0.590704768020549,0.0,0.2514047198587253,0.5866110130036924,0,0,0,1,72.6,204.2,31.325,75.8,16.0,1.542,4.534000000000001,35.0,121.0,6.975999999999999,4.362,4.474,0.29476958049183716,68.582
Bobo Wilson - 12067,2,100.0,29.84,0.0,0.0,0.3696631237614844,0.5729651629475037,0.21761117354310483,0.9228967753557917,0.6643847955323365,0.6690686362817511,0.5168438119257791,0.4626193478652495,0.2421185372005044,0.9377107079788088,0.8168245304222187,0.7660138063894686,0.6093273398619361,0.5476802054904479,0.32910579547278856,0.6123775886980254,0.4267137582276449,0.4990367635254455,0.4337774923743779,0.3218815219136298,0.17418526248193933,1,0,1,0,69.25,189.0,31.38,75.38,10.0,1.56,4.57,32.6,119.0,7.138,4.57,4.446,0.559493697044844,51.0
Tastean Reddicks - 173734,1,52.35,29.58,0.0,0.0,0.159430733201225,0.19473430727243538,0.19473430727243538,0.6569987389659521,0.22662583318321022,0.39344262295081966,0.0,0.30138713745271123,0.5372005044136192,0.6004174024723069,0.24867554984748755,0.3804784074490287,0.0,0.31232942687429766,0.5297800610049768,0.6004174024723069,0.24867554984748755,0.3804784074490287,0.0,0.31232942687429766,0.5297800610049768,1,0,1,0,72.5,196.6,32.275,77.575,13.0,1.546,4.558000000000001,34.3,125.4,7.016,4.343999999999999,4.4559999999999995,0.28629675552800166,65.28799999999998
Devante Davis - 9745,1,100.0,29.39,0.0,0.0,0.17456314177625654,0.2092631240969658,0.2092631240969658,0.9315438659700955,0.822374346964511,0.7324806341199784,0.6811385335975499,0.8913709241578094,0.5589983786705098,0.8562369561727404,0.7835126023438754,0.6837373575212715,0.6607802215443892,0.8718895488842511,0.548242093433938,0.8562369561727404,0.7835126023438754,0.6837373575212715,0.6607802215443892,0.8718895488842511,0.548242093433938,0,0,1,0,74.875,220.0,32.375,79.75,16.0,1.59,4.57,35.5,115.0,7.25,4.12,4.502,0.7616015705724324,62.53
DeAndrew White - 9697,1,100.0,28.88,0.0,0.0,0.5807962529274004,0.6092470701557232,0.6092470701557232,0.9106467303188615,0.6029544226265537,0.6377229328049,0.7074401008827238,0.34966672671590704,0.6562781480814268,0.8307914593032589,0.5681489805747311,0.6000160539412426,0.6783592872050088,0.35703965323486914,0.6318831273077541,0.8307914593032589,0.5681489805747311,0.6000160539412426,0.6783592872050088,0.35703965323486914,0.6318831273077541,1,0,1,0,71.5,193.0,31.0,74.5,13.4,1.58,4.44,34.5,118.0,6.97,4.18,4.446,0.6578611283323,70.23
Temuchin Hodges - 11956,1,100.0,28.71,0.0,0.0,0.3703837146460097,0.41130197463477286,0.41130197463477286,0.9850477391460998,0.5719690145919654,0.650333273284093,0.809764006485318,0.7984147000540444,0.2102323905602594,0.9623535077861615,0.541820516936908,0.6104511157489163,0.772836731417563,0.7648097607962755,0.2332637662546155,0.9623535077861615,0.541820516936908,0.6104511157489163,0.772836731417563,0.7648097607962755,0.2332637662546155,1,0,1,0,78.0,257.0,32.5,78.0,18.0,1.59,4.57,39.0,134.0,6.948,4.45,4.5,0.808305435007233,85.77
Devon Cajuste - 11270,2,100.0,28.65,0.0,0.0,0.6434876598811025,0.6502648900305025,0.6428800770589179,0.8429111871734822,0.4460457575211674,0.7090614303729058,0.8167897676094398,0.7964330751215997,0.3096739326247523,0.8214801733825654,0.45119601862257186,0.6956975437469899,0.8323165837213036,0.7944292823888265,0.3441965002408091,0.6811687269224594,0.4305667041258629,0.6300369240648579,0.6871889548884251,0.7257986835768181,0.3104832236314015,1,0,1,0,75.75,234.0,33.0,80.0,12.0,1.59,4.62,36.0,123.0,6.49,4.2,4.51,0.7161376317420954,78.06
Justin Robinson - 124036,2,19.11,28.58,1.0,0.5,0.10286434876598811,0.28319152351902394,0.03692406485792262,0.6011529454152404,0.45379210952981447,0.3415600792649973,0.6070978202125743,0.7389659520807061,0.15132408575031525,0.7022796596564457,0.6185583560764167,0.547038047840745,0.8696419971102906,0.8837694654037567,0.391234548081554,0.1739444533633007,0.21399903676352544,0.06116551613421095,0.0,0.31232942687429766,0.0026489003050248834,1,0,1,0,75.175,209.4,32.525,77.825,14.4,1.526,4.4799999999999995,34.5,124.2,7.072,4.390000000000001,4.536,0.15755114693118413,76.362
Tyson Mobley - 122350,2,39.12,28.53,0.0,0.0,0.4130787245541344,0.5827580671054744,0.20099534435703964,0.6708701134930644,0.3203026481715006,0.416141235813367,0.605836786164655,0.5689065033327328,0.511799675734102,0.9372290897415315,0.7587092631240969,0.5423824048803981,0.9693369722266817,0.7874458179483063,0.7941884732701878,0.2241932894525606,0.12859206935302617,0.20709584202921819,0.0,0.4276769947021994,0.1391876705731257,0,0,1,0,73.8,197.8,32.1,76.7,13.0,1.516,4.51,35.7,127.0,7.058,4.378,4.48,0.19888200041330856,74.176
