ID,Last_Season,target,predicted_label,Diff,min_label,mean_label,max_label,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score,athleticism_sentiment,playmaking_sentiment,off-field_sentiment
Drake London - 86519,2021,78.69,74.61,-4.08,67.23,74.44,84.75,3,30.43,90.56,1.0,0.33,0.7258151684381192,0.9490287365548242,0.3562369561727404,0.9016393442622951,0.7985948477751756,0.9124482075301747,0.8095838587641866,0.3593947036569987,0.6982525671050261,0.8694814576978648,0.9943008508588859,0.9814576978648258,0.8832878471664793,0.5570717611173543,0.7309359447744421,0.7605554663669931,0.30968052656927275,0.6366993096805266,0.6224915716808477,0.2591908813613742,0.5992936265853267,1,0,1,0,75.875,219.0,33.0,77.75,16.4,1.5379999999999998,4.542,36.2,124.2,7.081999999999999,4.16,4.49,0.9103926431080802,74.92,0.3401,-0.654722222,-0.273771429
Brandon Aiyuk - 84109,2019,83.0,74.6,-8.4,66.68,76.53,85.62,2,64.01,84.55,0.0,0.0,0.3166996937488741,0.433055065018462,0.24747150425429443,0.8958746171860926,0.8227346424067735,0.947757160871915,0.8508376869032607,0.44838767789587464,0.9632498648892092,0.9292823888264569,0.8356879113822443,0.961390271311607,0.8504575373254134,0.5158131321239364,0.9718253331192808,0.6554824209343394,0.6694493498153796,0.8294268742976401,0.7090223149783271,0.36899983946058756,0.8804784074490287,1,0,1,0,71.625,205.0,33.5,80.0,11.0,1.52,4.5,40.0,128.0,7.056,4.23,4.48,0.8917937590411242,78.48,0.72264,0.627357143,-0.5594
DeVonta Smith - 61100,2020,88.16,73.8,-14.36,66.06,77.23,91.6,3,46.95,96.78,0.0,0.0,0.39056025941271844,0.5987317386418366,0.09568148980574731,0.9124482075301747,0.8245361196180868,0.9628895694469465,0.9830661142136552,0.6287155467483336,0.9281210592686002,0.9548081554021512,0.9806550008026971,0.9953443570396532,0.9955851661582918,0.9298442767699471,0.9752769304864344,0.5772997270829989,0.041900786643120885,0.2352705089099374,0.781826938513405,0.2939476641515492,0.6596564456574089,1,0,1,0,72.25,170.0,31.125,78.25,15.4,1.5299999999999998,4.454,35.5,123.6,6.974000000000001,4.362,4.4,0.9643294069022526,71.76,0.406566667,-0.1659,-0.16602
Garrett Wilson - 97405,2021,84.35,73.17,-11.18,45.43,64.2,74.45,3,39.11,84.58,1.0,0.33,0.5501711403350747,0.7188954888425109,0.24747150425429443,0.8367861646550171,0.8641686182669789,0.9547829219960368,0.9616285353990272,0.6333993874977482,0.5687263556116016,0.884170813934821,0.9279980735270509,0.961390271311607,0.9660459142719537,0.6941724193289452,0.7129555305827581,0.6554824209343394,0.5258468454005458,0.7660138063894686,0.8853748595280141,0.5158131321239364,0.4461390271311607,1,0,1,0,71.75,183.0,32.0,76.5,15.2,1.49,4.38,36.0,123.0,7.056,4.36,4.42,0.945523868567886,80.45,0.8,-0.24759,-0.516333333
Jaylen Waddle - 84088,2020,77.19,72.93,-4.26,68.72,73.35,78.62,3,61.8,98.9,1.0,0.33,0.7728337236533958,0.8221223310322684,0.6992294108203564,0.6404251486218699,0.8108448928121059,0.9915330571068276,0.9695550351288056,0.3266078184110971,0.9738785804359574,0.6895970460748113,0.837774923743779,0.9951838176272275,0.9569754374698989,0.5258468454005458,0.9835447102263606,0.47447423342430567,0.657007545352384,0.9569754374698989,0.9448547118317547,0.08484507946700916,0.8911542783753411,1,0,1,0,69.5,180.0,30.375,74.625,14.2,1.516,4.401999999999999,37.2,129.6,6.944,4.238,4.2,0.9046063236205828,83.55,0.348283333,0.10878,0.255085714
Kenny Golladay - 11851,2016,77.91,72.67,-5.24,60.45,69.19,75.05,2,100.0,70.72,0.0,0.0,0.2959827058187714,0.4270348370524964,0.21464119441322846,0.9823455233291298,0.9830661142136552,0.9630697171680779,0.9117276166456494,0.775175644028103,0.4770311655557557,0.9671696901589341,0.9870765772997271,0.953604109808958,0.8832878471664793,0.7874458179483063,0.6444052014769626,0.9312891314817788,0.9385936747471504,0.9133889869963076,0.8496548402632846,0.6846203242896131,0.3104832236314015,0,0,1,0,76.0,218.0,32.0,76.38,18.0,1.56,4.5,35.5,120.0,7.0,4.15,4.465999999999999,0.9955342012812565,76.49,0.3433106666,0.012855817600000008,-0.15412
Jordan Addison - 123000,2022,75.15,71.99,-3.16,66.95,70.78,73.84,3,49.48,89.29,0.0,0.0,0.6834804539722572,0.7610370846042703,0.5102745223952481,0.9735182849936949,0.9029003783102144,0.9452350927760764,0.9389299225364799,0.4274905422446406,0.7852639164114574,0.9955851661582918,0.8779900465564296,0.9543265371648739,0.9553700433456414,0.5984909295231979,0.8209182854390753,0.8256541981056349,0.8308717290094718,0.7758067105474394,0.6647937068550329,0.267699470219939,0.613260555466367,1,0,1,0,71.125,173.0,30.875,74.5,16.4,1.56,4.49,34.0,122.0,7.05,4.362,4.46,0.991401115933044,58.94,0.890666667,-0.029157143,-0.145625
Chris Olave - 84355,2021,70.42,68.87,-1.55,49.32,62.63,72.37,3,52.57,91.14,0.0,0.0,0.33489461358313816,0.45874137100658213,0.30646973832075775,0.7780580075662042,0.8987569807241939,0.9663123761484417,0.9836065573770492,0.8519185732300486,0.3422806701495226,0.9435703965323486,0.9438914753572002,0.9772034034355435,0.9918927596724996,0.9493498153796757,0.4461390271311607,0.3472467490768984,0.44204527211430406,0.8385776208059078,0.9567346283512602,0.6482581473751806,0.26585326697704287,1,0,1,0,72.375,187.0,31.125,73.125,13.6,1.5,4.39,32.0,124.0,7.098000000000001,4.2940000000000005,4.42,0.9294048357098574,78.32,0.61105,0.1746,-0.429375
Chris Godwin - 11839,2016,79.39,67.65,-11.74,38.96,58.22,72.52,3,100.0,60.6,0.0,0.0,0.3318321023239056,0.5499277572644085,0.04567346283512602,0.9672131147540983,0.7321203386777158,0.8355251306070978,0.8007566204287516,0.5966492523869573,0.7319401909565844,0.9597046074811366,0.8888264568951678,0.9133889869963076,0.918285439075293,0.8421094878792743,0.8543104832236315,0.7798201958580832,0.24867554984748755,0.3908331995504896,0.4928559961470541,0.38818429924546477,0.4799325734467812,1,0,1,0,73.0,209.0,31.63,76.5,19.0,1.49,4.42,36.0,126.0,7.01,4.0,4.444,0.9318846869187849,93.41,-0.0985806666,-0.5655465872000001,-0.9500733334
Marvin Harrison - 145056,2023,63.03,67.08,4.05,61.36,70.98,92.57,2,13.73,95.69,2.0,1.0,0.37975139614483877,0.46965805105153313,0.324289613100016,0.8985768330030625,0.9585660241397946,0.9648711943793911,0.9839668528193118,0.6443883984867591,0.6116015132408575,0.9340985711992295,0.9698988601701718,0.9785679884411623,0.9798523037405683,0.7648097607962755,0.7639267940279338,0.45472788569593836,0.150585968855354,0.34564135495264087,0.8921977845561085,0.3476480976079628,0.2956333279820196,1,1,0,0,75.25,209.0,31.875,77.25,17.8,1.54,4.552,38.3,126.2,7.095999999999999,4.34,4.44,0.9847881793759041,76.67,0.770733333,0.68084,0.1023
Vince Mayle - 9556,2014,1.03,67.04,66.01,65.19,69.23,74.54,1,100.0,69.99,0.0,0.0,0.02251846514141596,0.02994060041740247,0.02994060041740247,0.9981985227886867,0.9605476490722392,0.9580255809764007,0.8128265177445505,0.3276887047378851,0.9149702756260133,0.9963075935142077,0.9395569112217049,0.931770749719056,0.7763685984909295,0.338497351099695,0.8804784074490287,0.9963075935142077,0.9395569112217049,0.931770749719056,0.7763685984909295,0.338497351099695,0.8804784074490287,1,0,1,0,74.0,224.0,31.75,78.375,17.8,1.67,4.67,35.5,117.0,6.93,4.13,4.465999999999999,0.9899545360611697,71.62,0.34331066660000004,0.012855817600000008,-0.15411999999999998
Brian Thomas - 146760,2023,71.31,66.27,-5.04,46.69,61.13,73.19,3,27.29,66.12,2.0,0.67,0.3022878760583679,0.36779579386739447,0.27018783111253813,0.9513601152945416,0.499729778418303,0.827958926319582,0.9643307512159971,0.6099801837506755,0.6350207169879301,0.9735109969497512,0.5349975919088136,0.9211751484989565,0.975517739605073,0.7358323968534275,0.6718574410017659,0.7260394926954568,0.3305506501846203,0.4836249799325735,0.5211912024401991,0.3476480976079628,0.49783271793225237,1,1,0,0,74.875,209.0,32.75,79.625,11.0,1.5,4.33,38.5,126.0,6.858,4.194,4.48,0.7198574085554866,96.37,0.1247713332,-0.40832919040000004,-0.26986583340000003
Anthony Miller - 48160,2017,36.39,65.66,29.27,62.73,70.16,82.07,3,81.85,84.63,0.0,0.0,0.5233291298865069,0.5996147054101783,0.48651468935623693,0.9574851378130067,0.9805440461178166,0.9830661142136552,0.9787425689065034,0.4392001441181769,0.8722752657178887,0.9703002087012361,0.9863541499438112,0.980093112859207,0.9850698346444052,0.5681489805747311,0.9166800449510355,0.6851019425268904,0.9198908331995505,0.9569754374698989,0.8628993417884091,0.23599293626585327,0.6718574410017659,0,0,1,0,71.125,201.0,31.625,75.5,22.0,1.514,4.478,37.5,125.6,6.936,4.287999999999999,4.458,0.9973940896879521,75.85,0.5360306666,-0.019709682399999994,-0.2403866666
Corey Davis - 11760,2016,64.86,64.09,-0.77,60.48,66.55,75.71,3,100.0,86.86,0.0,0.0,0.4721671770852099,0.5531385455129234,0.46893562369561725,0.9769410916951901,0.9812646370023419,0.9911727616645649,0.9863087731940191,0.5089173121960007,0.9292019455953883,0.9556911221704929,0.9742334243056671,0.988441162305346,0.9876384652432172,0.5783432332637662,0.9300048161823727,0.9055225557874458,0.9579386739444533,0.9803339219778455,0.9414833841708139,0.4379515170974474,0.8384973510996949,0,0,1,0,74.75,209.0,33.0,77.25,13.4,1.56,4.458,35.5,123.8,6.840000000000001,4.164,4.48,1.0077268030584832,77.11,0.5360306666,-0.019709682399999994,-0.2403866666
Stefon Diggs - 9579,2014,78.94,63.77,-15.17,47.29,60.88,70.37,1,100.0,66.45,1.0,1.0,0.799315438659701,0.7555787445817949,0.7555787445817949,0.9497387858043596,0.9295622410376508,0.8935326968113854,0.7549990992613943,0.13817330210772832,0.935146820392722,0.8868197142398458,0.8977363942847969,0.8517418526248194,0.7192165676673623,0.15146893562369562,0.9070476802054904,0.8868197142398458,0.8977363942847969,0.8517418526248194,0.7192165676673623,0.15146893562369562,0.9070476802054904,1,0,0,1,72.0,195.0,31.25,75.75,11.2,1.53,4.46,35.0,115.0,7.03,4.32,4.418000000000001,0.9715623062616243,67.42,0.039465999999999994,-0.16841793640000002,-0.2615233334
Christian Watson - 66581,2021,63.0,62.75,-0.25,37.21,56.58,66.33,3,32.19,65.9,2.0,0.67,0.3455233291298865,0.5829988762241131,0.0,0.6285353990272023,0.8596649252386958,0.9672131147540983,0.8762385155827779,0.8785804359574851,0.914790127904882,0.7260394926954568,0.978086370203885,0.9947824690961631,0.976159897254776,0.9406004174024724,0.9625140471985872,0.4373093594477444,0.14873976561245786,0.48860170171777173,0.0,0.7113501364585005,0.5143682774121047,0,1,0,0,76.125,208.0,32.5,77.625,14.4,1.46,4.36,38.5,136.0,6.953999999999999,4.138,4.47,0.6584810911345319,99.0,-0.543416667,-0.834825,-0.709516667
Puka Nacua - 100632,2022,75.77,62.4,-13.37,51.72,61.19,72.18,2,31.15,97.0,1.0,0.5,0.37614844172221223,0.5976079627548563,0.0,0.46424067735543145,0.9724373986669068,0.990091875337777,0.9574851378130067,0.6303368762385155,0.9070437758962349,0.6826938513405041,0.9923743779097769,0.9956654358645047,0.9947021993899502,0.8958901910419008,0.9578584042382405,0.13059881200834805,0.6221704928559961,0.9191684058436346,0.7937871247391235,0.07288489324129074,0.7309359447744421,1,0,1,0,73.625,201.0,31.5,74.875,15.0,1.548,4.529999999999999,33.3,117.4,7.048,4.39,4.47,0.7417627609010126,55.53,0.675016667,0.082316667,-0.696944444
